graph_type,num_nodes,param,num_edges,reference_size,exact_used,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,FastVC_size,FastVC_time,FastVC_ratio,FastVC_valid,SA_size,SA_time,SA_ratio,SA_valid
ER,19,0.3,57,12,True,12,0.05947983590885997,1.0,True,12,0.0002325020032003522,1.0,True,18,0.00014038104563951492,1.5,True,12,0.00022670405451208353,1.0,True,12,0.011934687965549529,1.0,True
ER,19,0.3,60,13,True,13,0.06406393798533827,1.0,True,14,0.00028027407824993134,1.0769230769230769,True,16,0.00014296500012278557,1.2307692307692308,True,13,0.0001973010366782546,1.0,True,13,0.012807074002921581,1.0,True
ER,19,0.5,75,13,True,13,0.06533050897996873,1.0,True,14,0.00039292697329074144,1.0769230769230769,True,18,0.00017306592781096697,1.3846153846153846,True,13,0.00022663502022624016,1.0,True,14,0.013470845995470881,1.0769230769230769,True
ER,19,0.5,86,13,True,13,0.06043945509009063,1.0,True,13,0.000265746028162539,1.0,True,18,0.00016706099268049002,1.3846153846153846,True,15,0.00021839304827153683,1.1538461538461537,True,14,0.014322560047730803,1.0769230769230769,True
ER,19,0.5,81,14,True,14,0.06515548808965832,1.0,True,15,0.00027887593023478985,1.0714285714285714,True,18,0.00016650103498250246,1.2857142857142858,True,16,0.0002538039116188884,1.1428571428571428,True,14,0.013921951060183346,1.0,True
ER,19,0.5,80,13,True,13,0.06136094103567302,1.0,True,15,0.0002710539847612381,1.1538461538461537,True,18,0.00016105396207422018,1.3846153846153846,True,13,0.00021699699573218822,1.0,True,14,0.014123931992799044,1.0769230769230769,True
ER,19,0.5,91,14,True,14,0.07767942594364285,1.0,True,14,0.00033447006717324257,1.0,True,18,0.0001828439999371767,1.2857142857142858,True,14,0.00024661002680659294,1.0,True,14,0.01614164700731635,1.0,True
ER,19,0.5,83,14,True,14,0.06529810302890837,1.0,True,14,0.00029947992879897356,1.0,True,18,0.00016706110909581184,1.2857142857142858,True,15,0.00022852106485515833,1.0714285714285714,True,14,0.014899378991685808,1.0,True
ER,19,0.5,86,14,True,14,0.07052076503168792,1.0,True,14,0.0003920199815183878,1.0,True,16,0.0001766979694366455,1.1428571428571428,True,15,0.00022810196969658136,1.0714285714285714,True,14,0.014258795999921858,1.0,True
ER,19,0.5,97,14,True,14,0.06702974799554795,1.0,True,15,0.000283904024399817,1.0714285714285714,True,18,0.0001967430580407381,1.2857142857142858,True,15,0.00023962603881955147,1.0714285714285714,True,14,0.01512224308680743,1.0,True
ER,19,0.5,92,13,True,13,0.059139360091648996,1.0,True,13,0.00026979693211615086,1.0,True,16,0.00017991091590374708,1.2307692307692308,True,14,0.0002591119846329093,1.0769230769230769,True,13,0.01501783006824553,1.0,True
ER,19,0.5,93,15,True,15,0.06979741796385497,1.0,True,15,0.0002882349072024226,1.0,True,16,0.00016971398144960403,1.0666666666666667,True,16,0.00021839397959411144,1.0666666666666667,True,15,0.015063576982356608,1.0,True
ER,19,0.7,115,15,True,15,0.07039016194175929,1.0,True,16,0.00033139600418508053,1.0666666666666667,True,18,0.00020987307652831078,1.2,True,15,0.0002603689208626747,1.0,True,15,0.017114675021730363,1.0,True
ER,19,0.7,123,15,True,16,0.07684559095650911,1.0666666666666667,True,16,0.00032916199415922165,1.0666666666666667,True,18,0.00022153696045279503,1.2,True,16,0.0002938919933512807,1.0666666666666667,True,15,0.017712725908495486,1.0,True
ER,19,0.7,115,15,True,15,0.07050148898269981,1.0,True,16,0.0003501840401440859,1.0666666666666667,True,18,0.00022635504137724638,1.2,True,16,0.00024940294679254293,1.0666666666666667,True,15,0.016777202021330595,1.0,True
ER,19,0.7,120,15,True,15,0.07040615496225655,1.0,True,16,0.0003276949282735586,1.0666666666666667,True,18,0.00020826607942581177,1.2,True,16,0.00026853999588638544,1.0666666666666667,True,15,0.01731560903135687,1.0,True
ER,19,0.7,118,15,True,16,0.07813779404386878,1.0666666666666667,True,15,0.0003699490334838629,1.0,True,18,0.00021511095110327005,1.2,True,16,0.00028013403061777353,1.0666666666666667,True,15,0.018497252953238785,1.0,True
ER,19,0.7,111,15,True,15,0.07517191406805068,1.0,True,15,0.00033300300128757954,1.0,True,18,0.00020840705838054419,1.2,True,15,0.00028320704586803913,1.0,True,15,0.01746276393532753,1.0,True
ER,19,0.7,117,15,True,15,0.07308310107327998,1.0,True,16,0.00044146692380309105,1.0666666666666667,True,18,0.00021434295922517776,1.2,True,16,0.0003021330339834094,1.0666666666666667,True,16,0.017428680905140936,1.0666666666666667,True
ER,19,0.7,132,15,True,16,0.07292938092723489,1.0666666666666667,True,15,0.00032106100115925074,1.0,True,18,0.00021986092906445265,1.2,True,17,0.00026141596026718616,1.1333333333333333,True,15,0.018635398941114545,1.0,True
