inst_id,graph_type,num_nodes,is_optimal,ratio,step,n_active,H,H_max,H_norm,D_kl,rel_delta,vertex,best_prob
316,ER,54,True,1.0,22,32,3.464678011567128,3.4657359027997265,0.9996947571129859,0.001057891232598725,0.020235291993142567,13,7.295065744039597e-06
316,ER,54,True,1.0,23,31,3.4326247163423496,3.4339872044851463,0.9996032343565471,0.0013624881427969594,0.006451463044480588,14,7.923848658220045e-06
316,ER,54,True,1.0,24,30,3.399497636162683,3.4011973816621555,0.9995002508502927,0.0016997454994723614,0.004767551374522749,32,7.879115597186903e-06
316,ER,54,True,1.0,25,29,3.3650245393661087,3.367295829986474,0.9993254852751162,0.0022712906203654617,0.007741818583095826,31,8.223009802521553e-06
316,ER,54,True,1.0,26,28,3.3295505329963655,3.332204510175204,0.9992035371266277,0.0026539771788376128,0.0007798412051816061,4,8.7042512315616e-06
316,ER,54,True,1.0,27,27,3.2925263213718674,3.295836866004329,0.9989955374713448,0.003310544632462146,0.01825988075057147,28,9.890601983086889e-06
316,ER,54,True,1.0,28,26,3.2530045098054656,3.258096538021482,0.9984371156113414,0.005092028216016849,0.01605259387217351,41,1.1334051251199462e-05
316,ER,54,True,1.0,29,25,3.2082096771793083,3.2188758248682006,0.9966863749118595,0.010666147688892548,0.38002196114956055,5,1.6118545495547032e-05
316,ER,54,True,1.0,30,23,3.1339239770353204,3.1354942159291497,0.9994992052972537,0.001570238893829342,0.04079496039127071,45,1.0569211444710902e-05
316,ER,54,True,1.0,31,22,3.089242513798449,3.091042453358316,0.9994176917376494,0.0017999395598670706,0.04092615009074509,23,1.1661184558975357e-05
316,ER,54,True,1.0,32,21,3.0415422876335727,3.044522437723423,0.999021143660193,0.0029801500898498107,0.0023229140264342065,25,1.157879452617916e-05
316,ER,54,True,1.0,33,20,2.9916181690461126,2.995732273553991,0.9986266781767525,0.004114104507878323,0.0009594990165518948,6,1.2801620501101674e-05
316,ER,54,True,1.0,34,19,2.9382605577176557,2.9444389791664403,0.9979016642924169,0.006178421448785134,0.025371227168766344,22,1.5260822854301637e-05
316,ER,54,True,1.0,35,18,2.879072464605241,2.8903717578961645,0.996090712808809,0.011299293290923934,0.08276985831088117,7,1.8745885892679226e-05
316,ER,54,True,1.0,36,17,2.8160579402197485,2.833213344056216,0.9939448951585458,0.01715540383646761,0.30526080540380013,1,2.2676551671207967e-05
316,ER,54,True,1.0,37,15,2.7010221145949425,2.70805020110221,0.9974047429015876,0.007028086507267731,0.0648816779984727,3,1.8151768179319738e-05
316,ER,54,True,1.0,38,14,2.6264458137504074,2.6390573296152584,0.9952212042825573,0.01261151586485078,0.10123584057295341,9,2.0986895922781024e-05
316,ER,54,True,1.0,39,13,2.5398268670139594,2.5649493574615367,0.9902054633653896,0.02512249044757718,0.26539864707748156,11,2.816768362456923e-05
316,ER,54,True,1.0,40,11,2.3868554056386544,2.3978952727983707,0.9953960177973775,0.01103986715971659,0.032630798351228826,39,2.1889640706485025e-05
316,ER,54,True,1.0,41,10,2.2830633571718053,2.302585092994046,0.9915218178552279,0.019521735822240212,0.30172329382381496,21,3.1564216389612376e-05
316,ER,54,True,1.0,42,8,2.077313895670944,2.0794415416798357,0.9989768185514015,0.002127646008892095,0.010308422861139937,49,2.6944088872493666e-05
316,ER,54,True,1.0,43,7,1.9411155067793513,1.9459101490553132,0.9975360412821273,0.004794642275961835,0.03571468960972038,36,3.8888305044837423e-05
316,ER,54,True,1.0,44,6,1.7547952290457254,1.791759469228055,0.9793698647518493,0.03696424018232944,0.1999970555299923,12,6.24986632062896e-05
316,ER,54,True,1.0,45,4,1.3760554809634389,1.3862943611198906,0.9926142091870154,0.010238880156451476,4.996091504332844e-12,50,4.4443662557513974e-05
316,ER,54,True,1.0,46,3,1.0397229369266539,1.0986122886681098,0.9463966020143013,0.05888935174145572,0.4999937498982855,37,9.999666671156593e-05
317,ER,54,True,1.0,0,54,3.9887572685160326,3.9889840465642745,0.999943148920729,0.00022677804824194125,0.004524564449337458,37,3.737418287297345e-06
317,ER,54,True,1.0,1,53,3.970051275392311,3.970291913552122,0.999939390310574,0.00024063815981100565,0.007611609554412902,23,3.830129080117928e-06
317,ER,54,True,1.0,2,52,3.9509826309447225,3.9512437185814275,0.9999339226695946,0.0002610876367045642,8.408773996234316e-05,5,3.894477634713844e-06
317,ER,54,True,1.0,3,51,3.931504653423223,3.9318256327243257,0.9999183638006652,0.00032097930110331805,0.005635398397221443,17,3.962401483481592e-06
