graph_type,num_nodes,param,num_edges,reference_size,exact_ref,t_opt_theory,ratio_t0.001000,ratio_t0.001374,ratio_t0.001887,ratio_t0.002593,ratio_t0.003562,ratio_t0.004894,ratio_t0.006723,ratio_t0.009237,ratio_t0.012690,ratio_t0.017433,ratio_t0.023950,ratio_t0.032903,ratio_t0.045204,ratio_t0.062102,ratio_t0.085317,ratio_t0.117210,ratio_t0.161026,ratio_t0.221222,ratio_t0.303920,ratio_t0.417532,ratio_t0.573615,ratio_t0.788046,ratio_t1.082637,ratio_t1.487352,ratio_t2.043360,ratio_t2.807216,ratio_t3.856620,ratio_t5.298317,ratio_t7.278954,ratio_t10.000000
ER,40,0.5,369,33,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0606060606060606,1.0909090909090908,1.1818181818181819,1.1818181818181819,1.1818181818181819,1.1818181818181819
ER,40,0.5,403,34,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0294117647058822,1.1470588235294117,1.1470588235294117,1.1470588235294117,1.088235294117647
ER,50,0.5,615,43,False,0.2800632632314212,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0,1.0232558139534884,1.0930232558139534,1.1395348837209303,1.1395348837209303,1.069767441860465,1.0930232558139534
ER,50,0.5,587,43,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.069767441860465,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.069767441860465
ER,50,0.5,606,43,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0232558139534884,1.0465116279069768,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.1162790697674418
ER,50,0.5,624,43,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0232558139534884,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.1162790697674418
ER,50,0.5,600,42,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0476190476190477,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667
ER,50,0.5,634,43,False,0.2800632632314212,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0232558139534884,1.0,1.0,1.0232558139534884,1.0232558139534884,1.069767441860465,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.1395348837209303
ER,50,0.5,616,42,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0476190476190477,1.0476190476190477,1.0476190476190477,1.0476190476190477,1.0476190476190477,1.0476190476190477,1.0476190476190477,1.0714285714285714,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667
ER,50,0.5,647,43,False,0.2800632632314212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0232558139534884,1.069767441860465,1.1395348837209303,1.1395348837209303,1.1395348837209303,1.1162790697674418
