graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,matching_lb,lb_tight,n_steps,min_delta,min_gap,n_uncertain
ER,34,0.3,161,24,25,1.0416666666666667,False,17,False,25,2.220446049250313e-16,0.3794486331255835,25
ER,34,0.3,165,25,25,1.0,True,17,False,25,2.220446049250313e-16,0.3151803058034295,25
ER,34,0.3,163,24,24,1.0,True,17,False,24,4.440892098500626e-16,0.40995697628546335,24
ER,34,0.3,155,24,24,1.0,True,17,False,24,2.220446049250313e-16,0.28926519440962317,24
ER,34,0.3,173,24,24,1.0,True,17,False,24,2.220446049250313e-16,0.28474918416087414,24
ER,34,0.3,180,25,25,1.0,True,17,False,25,0.0,0.0,25
ER,34,0.3,177,25,25,1.0,True,17,False,25,0.0,0.0,25
ER,34,0.3,187,25,25,1.0,True,17,False,25,2.220446049250313e-16,0.22831949462716616,25
ER,34,0.3,148,23,23,1.0,True,17,False,23,6.296570831398896e-08,0.26520987456853223,23
ER,34,0.3,180,25,26,1.04,False,17,False,26,2.220446049250313e-16,0.3933898453231159,26
ER,34,0.5,279,27,28,1.037037037037037,False,17,False,28,2.220446049250313e-16,0.3459426679966259,28
ER,34,0.5,271,27,27,1.0,True,17,False,27,2.220446049250313e-16,0.4226497308103743,27
ER,34,0.5,281,27,27,1.0,True,17,False,27,0.0,0.4841992004717853,27
ER,34,0.5,270,27,27,1.0,True,17,False,27,2.220446049250313e-16,0.38946043757410415,27
ER,34,0.5,269,27,28,1.037037037037037,False,17,False,28,0.0,0.5367582491431606,28
ER,34,0.5,296,28,28,1.0,True,17,False,28,2.220446049250313e-16,0.49999999999999994,28
ER,34,0.5,287,28,28,1.0,True,17,False,28,2.220446049250313e-16,0.550814525040712,28
ER,34,0.5,293,28,28,1.0,True,17,False,28,2.220446049250313e-16,0.521816937879523,28
ER,34,0.5,266,27,27,1.0,True,17,False,27,2.220446049250313e-16,0.4462972852434883,27
ER,34,0.5,284,27,27,1.0,True,17,False,27,2.220446049250313e-16,0.422649730810374,27
ER,34,0.7,387,29,29,1.0,True,17,False,29,2.220446049250313e-16,0.5866477300478272,29
ER,34,0.7,386,29,29,1.0,True,17,False,29,1.080235900730031e-11,0.512411873037469,29
ER,34,0.7,389,30,30,1.0,True,17,False,30,2.220446049250313e-16,0.5657414540893352,30
ER,34,0.7,390,30,30,1.0,True,17,False,30,2.220446049250313e-16,0.6751151401124126,30
ER,34,0.7,371,29,30,1.0344827586206897,False,17,False,30,2.220446049250313e-16,0.565741454089335,30
ER,34,0.7,403,30,30,1.0,True,17,False,30,2.220446049250313e-16,0.6168873805643565,30
ER,34,0.7,392,30,30,1.0,True,17,False,30,2.220446049250313e-16,0.6502703628879044,30
ER,34,0.7,404,29,30,1.0344827586206897,False,17,False,30,0.0,0.49999999999999983,30
ER,34,0.7,386,29,29,1.0,True,17,False,29,2.220446049250313e-16,0.6738989528149618,29
ER,34,0.7,402,30,30,1.0,True,17,False,30,0.0,0.6247140188015587,30
ER,39,0.3,216,29,29,1.0,True,19,False,29,2.220446049250313e-16,0.3985884974868009,29
ER,39,0.3,219,28,28,1.0,True,19,False,28,0.0,0.4226497308103738,28
ER,39,0.3,217,27,27,1.0,True,19,False,27,4.440892098500626e-16,0.39867709580835325,27
ER,39,0.3,222,28,29,1.0357142857142858,False,19,False,29,2.220446049250313e-16,0.26259518318365804,29
ER,39,0.3,229,29,29,1.0,True,19,False,29,2.220446049250313e-16,0.28159070140519304,29
ER,39,0.3,228,29,30,1.0344827586206897,False,19,False,30,0.0,0.2554512143878319,30
ER,39,0.3,223,29,29,1.0,True,19,False,29,0.0,0.28451109168693184,29
ER,39,0.3,250,30,30,1.0,True,19,False,30,2.220446049250313e-16,0.29289321881345204,30
ER,39,0.3,200,28,29,1.0357142857142858,False,19,False,29,0.0,0.2928932188134525,29
ER,39,0.3,243,30,30,1.0,True,19,False,30,7.277108138303845e-09,0.2561364771486549,30
ER,39,0.5,376,31,31,1.0,True,19,False,31,1.9528124228784804e-08,0.40074391196225034,31
ER,39,0.5,359,32,32,1.0,True,19,False,32,2.220446049250313e-16,0.3729721723244473,32
ER,39,0.5,374,32,32,1.0,True,19,False,32,0.0,0.5296800623592145,32
ER,39,0.5,376,31,31,1.0,True,19,False,31,2.220446049250313e-16,0.6096117967977921,31
ER,39,0.5,365,32,33,1.03125,False,19,False,33,2.220446049250313e-16,0.5164647734326221,33
ER,39,0.5,381,33,33,1.0,True,19,False,33,0.0,0.5293128110179889,33
ER,39,0.5,379,32,33,1.03125,False,19,False,33,0.0,0.4675708794430956,33
ER,39,0.5,391,32,32,1.0,True,19,False,32,4.440892098500626e-16,0.5124118730374687,32
ER,39,0.5,347,32,33,1.03125,False,19,False,33,2.220446049250313e-16,0.3459426679966259,33
ER,39,0.5,382,32,32,1.0,True,19,False,32,0.0,0.5216561076364178,32
ER,39,0.7,524,34,34,1.0,True,19,False,34,0.0,0.6096117967977925,34
ER,39,0.7,508,34,34,1.0,True,19,False,34,2.220446049250313e-16,0.4834834694833028,34
ER,39,0.7,523,34,34,1.0,True,19,False,34,0.0,0.6257856115421523,34
ER,39,0.7,521,34,34,1.0,True,19,False,34,5.2082782531215344e-11,0.5124118730374682,34
ER,39,0.7,504,34,35,1.0294117647058822,False,19,False,35,2.220446049250313e-16,0.34594266799662565,35
ER,39,0.7,525,34,34,1.0,True,19,False,34,0.0,0.5657414540893347,34
ER,39,0.7,529,35,35,1.0,True,19,False,35,2.220446049250313e-16,0.5612197559598346,35
ER,39,0.7,530,34,35,1.0294117647058822,False,19,False,35,2.220446049250313e-16,0.5775283560652575,35
ER,39,0.7,512,34,34,1.0,True,19,False,34,2.220446049250313e-16,0.6090218919838375,34
ER,39,0.7,528,35,35,1.0,True,19,False,35,0.0,0.6310072746543776,35
ER,44,0.3,285,33,33,1.0,True,22,False,33,2.220446049250313e-16,0.40360641084893634,33
ER,44,0.3,265,33,33,1.0,True,22,False,33,2.220446049250313e-16,0.3459426679966253,33
ER,44,0.3,265,32,33,1.03125,False,22,False,33,2.220446049250313e-16,0.39621251301555555,33
ER,44,0.3,287,34,34,1.0,True,22,False,34,2.220446049250313e-16,0.44579061353934873,34
ER,44,0.3,289,32,33,1.03125,False,22,False,33,0.0,0.31526152769222016,33
ER,44,0.3,294,33,33,1.0,True,22,False,33,2.220446049250313e-16,0.2928932188134524,33
ER,44,0.3,296,34,34,1.0,True,22,False,34,2.220446049250313e-16,0.2402705945898162,34
ER,44,0.3,319,35,35,1.0,True,22,False,35,2.220446049250313e-16,0.4226497308103743,35
ER,44,0.3,264,33,33,1.0,True,22,False,33,2.220446049250313e-16,0.3410017667493951,33
ER,44,0.3,313,34,34,1.0,True,22,False,34,2.220446049250313e-16,0.3549279959022992,34
ER,44,0.5,487,37,37,1.0,True,22,False,37,2.220446049250313e-16,0.4338985130599655,37
ER,44,0.5,448,36,37,1.0277777777777777,False,22,False,37,2.220446049250313e-16,0.2796358391575056,37
ER,44,0.5,466,37,38,1.027027027027027,False,22,False,38,2.220446049250313e-16,0.5301684580808727,38
ER,44,0.5,481,37,37,1.0,True,22,False,37,0.0,0.3596117967977926,37
ER,44,0.5,463,37,37,1.0,True,22,False,37,0.0,0.31909649331979845,37
ER,44,0.5,492,37,37,1.0,True,22,False,37,2.220446049250313e-16,0.29289321881345237,37
ER,44,0.5,484,38,38,1.0,True,22,False,38,0.0,0.5140988812022232,38
ER,44,0.5,506,37,37,1.0,True,22,False,37,2.220446049250313e-16,0.5529836655706734,37
ER,44,0.5,468,37,37,1.0,True,22,False,37,2.220446049250313e-16,0.4302703334195808,37
ER,44,0.5,490,37,37,1.0,True,22,False,37,2.220446049250313e-16,0.49911412735677607,37
ER,44,0.7,672,39,40,1.0256410256410255,False,22,False,40,0.0,0.34594266799662454,40
ER,44,0.7,638,39,39,1.0,True,22,False,39,2.220446049250313e-16,0.49999999999999983,39
ER,44,0.7,665,39,39,1.0,True,22,False,39,0.0,0.31909649331979845,39
ER,44,0.7,661,40,40,1.0,True,22,False,40,0.0,0.5657414540893348,40
ER,44,0.7,635,38,38,1.0,True,22,False,38,2.220446049250313e-16,0.5657414540893352,38
ER,44,0.7,672,39,39,1.0,True,22,False,39,2.220446049250313e-16,0.3459426679966262,39
ER,44,0.7,675,39,39,1.0,True,22,False,39,2.220446049250313e-16,0.44469004488949615,39
ER,44,0.7,673,39,39,1.0,True,22,False,39,0.0,0.5368762170533029,39
ER,44,0.7,665,39,39,1.0,True,22,False,39,2.220446049250313e-16,0.6096117967977925,39
ER,44,0.7,678,39,39,1.0,True,22,False,39,2.220446049250313e-16,0.6771087966587408,39
ER,49,0.3,347,38,39,1.0263157894736843,False,24,False,39,2.220446049250313e-16,0.2819829394074493,39
ER,49,0.3,334,37,39,1.054054054054054,False,24,False,39,2.220446049250313e-16,2.587085228921343e-16,39
ER,49,0.3,341,37,37,1.0,True,24,False,37,1.374057745362478e-08,0.24051345704582772,37
ER,49,0.3,355,38,38,1.0,True,24,False,38,0.0,0.37049915258339156,38
ER,49,0.3,351,38,38,1.0,True,24,False,38,2.220446049250313e-16,0.281666228184379,38
ER,49,0.3,374,39,39,1.0,True,24,False,39,2.220446049250313e-16,0.19604355854258393,39
ER,49,0.3,365,37,38,1.027027027027027,False,24,False,38,2.220446049250313e-16,0.3274383771830398,38
ER,49,0.3,392,39,39,1.0,True,24,False,39,1.8610983532063585e-08,0.3832448970232246,39
ER,49,0.3,330,37,37,1.0,True,24,False,37,0.0,5.707209146849412e-16,37
ER,49,0.3,366,38,38,1.0,True,24,False,38,4.0324155126114647e-10,0.24760025189115356,38
ER,49,0.5,587,41,42,1.024390243902439,False,24,False,42,2.220446049250313e-16,8.009237434269492e-17,42
ER,49,0.5,562,41,41,1.0,True,24,False,41,2.220446049250313e-16,0.2928932188134522,41
ER,49,0.5,582,41,42,1.024390243902439,False,24,False,42,1.1802354649148583e-09,0.5079679756287687,42
ER,49,0.5,600,42,42,1.0,True,24,False,42,2.220446049250313e-16,0.49999999999999983,42
ER,49,0.5,581,41,41,1.0,True,24,False,41,9.181424509563385e-10,0.4362415839105662,41
ER,49,0.5,614,42,43,1.0238095238095237,False,24,False,43,2.220446049250313e-16,0.4431939232073301,43
