graph_type,num_nodes,param,num_edges,milp_ref,size_fixed,ratio_fixed,opt_fixed,size_adaptive,ratio_adaptive,opt_adaptive,n_adapted,n_steps,mean_t_used,mean_delta
ER,39,0.5,365,32,33,1.03125,False,32,1.0,True,31,32,1.5940625,0.02089993626186267
ER,39,0.5,381,33,33,1.0,True,33,1.0,True,31,33,1.667878787878788,0.02008960765591486
ER,39,0.5,379,32,33,1.03125,False,33,1.03125,False,32,33,1.5609090909090908,0.014962663515002124
ER,39,0.5,391,32,32,1.0,True,32,1.0,True,31,32,1.595625,0.024065201397842188
ER,39,0.5,347,32,33,1.03125,False,33,1.03125,False,32,33,1.6972727272727273,0.02167206360391366
ER,39,0.5,382,32,32,1.0,True,33,1.03125,False,33,33,1.6818181818181819,0.020720670662739672
ER,39,0.7,524,34,34,1.0,True,35,1.0294117647058822,False,33,35,1.6005714285714285,0.01072068316434358
ER,39,0.7,508,34,34,1.0,True,34,1.0,True,33,34,1.559705882352941,0.014758322047010644
ER,39,0.7,523,34,34,1.0,True,35,1.0294117647058822,False,34,35,1.6442857142857144,0.010395733531594
ER,39,0.7,521,34,34,1.0,True,34,1.0,True,34,34,1.516764705882353,0.011426557422942704
ER,39,0.7,504,34,35,1.0294117647058822,False,35,1.0294117647058822,False,34,35,1.478,0.011770014897628522
ER,39,0.7,525,34,34,1.0,True,36,1.0588235294117647,False,35,36,1.3641666666666667,0.007782331140320693
ER,39,0.7,529,35,35,1.0,True,35,1.0,True,35,35,1.6497142857142857,0.010976050819454098
ER,39,0.7,530,34,35,1.0294117647058822,False,35,1.0294117647058822,False,35,35,1.7077142857142857,0.008512496360920765
ER,39,0.7,512,34,34,1.0,True,34,1.0,True,34,34,1.5747058823529412,0.01075352968947713
ER,39,0.7,528,35,35,1.0,True,35,1.0,True,32,35,1.5451428571428572,0.0059835866597245605
ER,44,0.3,285,33,33,1.0,True,33,1.0,True,32,33,1.6518181818181819,0.03174780782928708
ER,44,0.3,265,33,33,1.0,True,33,1.0,True,32,33,1.6366666666666667,0.04247730926075581
ER,44,0.3,265,32,33,1.03125,False,33,1.03125,False,31,33,1.6066666666666665,0.02913931147394473
ER,44,0.3,287,34,34,1.0,True,34,1.0,True,33,34,1.6355882352941176,0.0295370193097474
ER,44,0.3,289,32,33,1.03125,False,33,1.03125,False,33,33,1.6224242424242423,0.036025169501393575
ER,44,0.3,294,33,33,1.0,True,33,1.0,True,32,33,1.6978787878787878,0.02262860503758865
ER,44,0.3,296,34,34,1.0,True,34,1.0,True,34,34,1.6911764705882353,0.0368774940114295
ER,44,0.3,319,35,35,1.0,True,35,1.0,True,34,35,1.6145714285714285,0.02557280369079612
ER,44,0.3,264,33,33,1.0,True,33,1.0,True,32,33,1.7124242424242424,0.03772329892962887
ER,44,0.3,313,34,34,1.0,True,34,1.0,True,34,34,1.6344117647058822,0.03563184758891784
ER,44,0.5,487,37,37,1.0,True,37,1.0,True,36,37,1.7570270270270272,0.017064747987695094
ER,44,0.5,448,36,37,1.0277777777777777,False,36,1.0,True,36,36,1.6805555555555556,0.024803796218347104
ER,44,0.5,466,37,38,1.027027027027027,False,38,1.027027027027027,False,37,38,1.671315789473684,0.015995998496113308
ER,44,0.5,481,37,37,1.0,True,38,1.027027027027027,False,37,38,1.671315789473684,0.016954930703904452
ER,44,0.5,463,37,37,1.0,True,37,1.0,True,37,37,1.7162162162162162,0.017084081711746055
ER,44,0.5,492,37,37,1.0,True,37,1.0,True,37,37,1.7297297297297298,0.023031258033408764
ER,44,0.5,484,38,38,1.0,True,38,1.0,True,37,38,1.6844736842105263,0.01884359559494213
ER,44,0.5,506,37,37,1.0,True,37,1.0,True,36,37,1.7035135135135135,0.017634350862510584
ER,44,0.5,468,37,37,1.0,True,37,1.0,True,36,37,1.7035135135135135,0.022311776311674858
ER,44,0.5,490,37,37,1.0,True,37,1.0,True,37,37,1.6945945945945946,0.02322691673366916
ER,44,0.7,672,39,40,1.0256410256410255,False,40,1.0256410256410255,False,39,40,1.5765,0.009600784137103278
ER,44,0.7,638,39,39,1.0,True,40,1.0256410256410255,False,39,40,1.6252499999999999,0.00908142491202282
ER,44,0.7,665,39,39,1.0,True,41,1.0512820512820513,False,39,41,1.5858536585365852,0.007508158023715703
ER,44,0.7,661,40,40,1.0,True,40,1.0,True,39,40,1.65525,0.00885701155402877
ER,44,0.7,635,38,38,1.0,True,39,1.0263157894736843,False,37,39,1.554871794871795,0.012424781680668474
ER,44,0.7,672,39,39,1.0,True,39,1.0,True,38,39,1.5656410256410256,0.013873223375507445
ER,44,0.7,675,39,39,1.0,True,40,1.0256410256410255,False,39,40,1.5282499999999999,0.007360883993972653
