graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
ER,0.0015,10000,75408,7628,7628,1.0,True,0.058915588073432446,7843,1.028185631882538,True,0.20320969598833472,7974,1.0453592029365495,True,3.1310686130309477,1,0,0
ER,0.0015,10000,75056,7620,7620,1.0,True,0.05559219105634838,7846,1.0296587926509186,True,0.1991218860493973,7993,1.0489501312335958,True,3.2496554030803964,1,0,0
ER,0.0015,10000,75074,7644,7644,1.0,True,0.06385734700597823,7876,1.0303506017791733,True,0.20908802608028054,7876,1.0303506017791733,True,3.048252710956149,1,0,0
ER,0.0008,20000,150205,15262,15262,1.0,True,0.12623929895926267,15663,1.026274407023981,True,0.8395238779485226,15910,1.042458393395361,True,6.931900213006884,1,0,0
ER,0.0008,20000,150693,15286,15286,1.0,True,0.11785338597837836,15676,1.025513541802957,True,0.8190835000714287,15687,1.0262331545204761,True,6.542271921993233,1,0,0
ER,0.0008,20000,150206,15228,15228,1.0,True,0.14082222804427147,15657,1.0281717888100868,True,0.8254079769831151,15938,1.0466246388232203,True,7.074294566991739,1,0,0
ER,0.0008,20000,150606,15265,15265,1.0,True,0.12599282898008823,15709,1.0290861447756305,True,0.8416611609281972,15858,1.0388470357025876,True,7.04202538204845,1,0,0
ER,0.0008,20000,150189,15220,15220,1.0,True,0.1224835840985179,15650,1.028252299605782,True,0.822785087977536,15771,1.0362023653088042,True,7.242746073985472,1,0,0
ER,0.0008,20000,150068,15236,15236,1.0,True,0.1253371590282768,15632,1.0259910737726436,True,0.819116955040954,15644,1.0267786820687845,True,6.2616043370217085,1,0,0
ER,0.0008,20000,150681,15261,15261,1.0,True,0.1160927569726482,15695,1.028438503374615,True,0.8324015350081027,15928,1.043706179149466,True,6.776159608969465,1,0,0
ER,0.0008,20000,150130,15237,15237,1.0,True,0.11761445901356637,15670,1.028417667519853,True,0.8137030689977109,15698,1.0302552995996588,True,6.66276537894737,1,0,0
ER,0.0008,20000,150124,15242,15242,1.0,True,0.13267181999981403,15665,1.0277522634824827,True,0.8382157509913668,15697,1.0298517254953419,True,6.683012713911012,1,0,0
ER,0.0008,20000,150377,15266,15266,1.0,True,0.1209393929457292,15703,1.0286257041792217,True,0.8309528169920668,15710,1.0290842394864406,True,6.975199850043282,1,0,0
ER,0.0003,50000,374214,38137,38137,1.0,True,0.3664311380125582,39230,1.0286598316595432,True,5.128240111051127,39403,1.0331961087657655,True,27.309771560016088,1,0,0
