inst_id,graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,H_mean,H_std,H_first,H_last,H_slope,H_integral,D_kl_mean,MI_consec,n_steps
95,ER,19,0.3,49,12,12,1.0,True,0.9889690605018205,0.014717849816161059,0.9969400679708061,0.9463966020143013,-0.0028516900479648847,0.9079966992524411,0.01876831712919289,2.3978952727983707,12
96,ER,19,0.3,45,11,11,1.0,True,0.9889136156855508,0.007673888024391496,0.9933499275795052,1.0,-0.0004932036375922746,0.8983068007955733,0.02451098398519206,2.3025850929940455,11
97,ER,19,0.3,62,13,13,1.0,True,0.989919648420996,0.015011338903793435,0.9989526269895136,0.9463966020150019,-0.002168504614151972,0.9150985242285148,0.017865170852291622,2.4849066497880012,13
98,ER,19,0.3,57,12,12,1.0,True,0.9851240395402193,0.016105319991131357,0.9976440793402813,1.0,-0.002726849753485605,0.9018888695677076,0.031109722889009265,2.3978952727983707,12
99,ER,19,0.3,60,13,13,1.0,True,0.9880743199427969,0.014842895527875911,0.9994949933139707,0.9463966020150019,-0.003251533824363877,0.9132323355070672,0.020799010019665214,2.4849066497880012,13
100,ER,19,0.5,75,13,13,1.0,True,0.9906705392711891,0.013219227975032315,0.9982093642178956,0.9463966020143013,-0.001935612334010814,0.9158780021084122,0.016367914093985077,2.4849066497880012,13
101,ER,19,0.5,86,13,13,1.0,True,0.9898062799942758,0.014380186231552374,0.9987410909650368,0.9463966020150019,-0.002527350674751153,0.9149932918027358,0.017341739187430726,2.4849066497880012,13
102,ER,19,0.5,81,14,14,1.0,True,0.995979764048253,0.004359951471559724,0.999305074091759,1.0,-0.0005449845569492147,0.9245760114021188,0.00804450005379856,2.5649493574615376,14
103,ER,19,0.5,80,13,13,1.0,True,0.9891101096654585,0.014287479631787269,0.9990213795528919,0.9463966020150019,-0.0028287381672266174,0.9142863411436166,0.018706304209261303,2.4849066497880012,13
104,ER,19,0.5,91,14,14,1.0,True,0.9949334390470643,0.005684220092358698,0.9990485106455311,1.0,-0.0006252013463428706,0.9235388493811524,0.010475080787885716,2.5649493574615376,14
105,ER,19,0.5,83,14,14,1.0,True,0.9957075077181515,0.004136487375198158,0.999030049614638,1.0,-0.00019350762505468758,0.9243135773747716,0.009785049031259364,2.5649493574615376,14
106,ER,19,0.5,86,14,14,1.0,True,0.9951680791534679,0.006979762040143185,0.9994336666292303,1.0,-0.0006468234801327508,0.9237597339167097,0.010258381450706355,2.5649493574615376,14
107,ER,19,0.5,97,14,14,1.0,True,0.9924900711230186,0.01389347293341111,0.9995430833918205,0.9463966020150019,-0.002294151700135513,0.922992225215632,0.011588793785600349,2.5649493574615376,14
108,ER,19,0.5,92,13,13,1.0,True,0.986991266120018,0.013948631080914374,0.9992065697974002,1.0,-0.0022305856152074984,0.9100987057431951,0.02766726412408952,2.4849066497880012,13
109,ER,19,0.5,93,15,15,1.0,True,0.9943240801201286,0.013113455325099974,0.9997728285098689,0.9463966020150019,-0.0014163423794474584,0.9294517657692997,0.008827373578054085,2.639057329615258,15
110,ER,19,0.7,115,15,15,1.0,True,0.9963348608719012,0.0044310360970381815,0.9996652616617382,1.0,-0.0005340345897890659,0.9296793521498432,0.007330642390332763,2.639057329615258,15
111,ER,19,0.7,123,15,16,1.0666666666666667,False,0.9980833118867134,0.0034395468063217493,0.9998108130945688,1.0,-0.00017311203883538877,0.9355892239775081,0.004105363538344761,2.70805020110221,16
112,ER,19,0.7,115,15,15,1.0,True,0.9966657445739473,0.003748078257854068,0.9995002272664044,1.0,-0.0002441841277658206,0.9300157369984005,0.007231747878856289,2.639057329615258,15
113,ER,19,0.7,120,15,15,1.0,True,0.9963008386594228,0.006423447538596965,0.9997861511732593,1.0,-0.0007096294579259412,0.9296413002869807,0.006834930860291939,2.639057329615258,15
114,ER,19,0.7,118,15,16,1.0666666666666667,False,0.9980500369044092,0.0032715325317415394,0.999737062310651,1.0,-5.7034359890640255e-05,0.9355582537072014,0.004442259915255082,2.70805020110221,16
115,ER,19,0.7,111,15,15,1.0,True,0.9959270207894638,0.006566201292830126,0.9998905544639988,1.0,-0.0008226214028354728,0.9292640023073305,0.0074159455250502404,2.639057329615258,15
116,ER,19,0.7,117,15,15,1.0,True,0.9937964767856692,0.013209598502753883,0.9998630261152707,0.9463966020150019,-0.001813235794311163,0.9289211558479934,0.009114392705438039,2.639057329615258,15
117,ER,19,0.7,132,15,16,1.0666666666666667,False,0.9972103800388816,0.0050521425247846636,0.9999240323193762,1.0,-0.0004881639283224323,0.9347127540289011,0.00539182046639614,2.70805020110221,16
118,ER,19,0.7,120,15,15,1.0,True,0.9956957907918416,0.005048590910761799,0.9996807412432787,1.0,-0.0005328218888732987,0.9290397660837323,0.009128966959019887,2.639057329615258,15
119,ER,19,0.7,125,16,16,1.0,True,0.9980177646189151,0.0030590537895867193,0.9999585157598821,1.0,-0.00022588735389552817,0.9355190610014188,0.004107068792154819,2.70805020110221,16
120,ER,24,0.3,74,15,15,1.0,True,0.9890721961499195,0.007984727007833156,0.9977433502039998,1.0,-0.0009941046745971752,0.9224807511431197,0.025452440146836567,2.639057329615258,15
121,ER,24,0.3,88,16,16,1.0,True,0.9890587991317948,0.013085122095512944,0.9979361364978565,0.9463966020150019,-0.002088523593671368,0.928298401053268,0.020772462156041595,2.70805020110221,16
122,ER,24,0.3,86,16,16,1.0,True,0.9902744961887224,0.01248774776323913,0.9976474443906983,0.9463966020150019,-0.0017959514449314901,0.9295231197385443,0.018303542702536167,2.70805020110221,16
123,ER,24,0.3,74,16,16,1.0,True,0.9914907905212735,0.012393127024609462,0.9985629100263778,0.9463966020150019,-0.0015013080084576862,0.9307108057699804,0.01602483142914669,2.70805020110221,16
124,ER,24,0.3,88,15,16,1.0666666666666667,False,0.9944074819333959,0.00608262048630142,0.9968594248927637,1.0,-0.0005338017590784802,0.932005624905497,0.012129376488300755,2.70805020110221,16
125,ER,24,0.3,77,16,16,1.0,True,0.990868438643844,0.012452017679959862,0.9988511314867818,0.9463966020150019,-0.0016615939786939994,0.9300794469719132,0.017232174047354852,2.70805020110221,16
126,ER,24,0.3,82,16,16,1.0,True,0.9935616192927189,0.006080702851854503,0.9976370043672428,1.0,-0.0006401361504229574,0.9311354629062424,0.014069026751885979,2.70805020110221,16
127,ER,24,0.3,92,16,16,1.0,True,0.9902225894058452,0.007293669844398645,0.9982429235705892,1.0,-0.00094894056260514,0.9277774980442642,0.022840631068095384,2.70805020110221,16
128,ER,24,0.3,82,16,16,1.0,True,0.9945401089337979,0.003711998151167012,0.9975453535813859,1.0,-6.852081689821086e-06,0.9321168166343797,0.013628558025963956,2.70805020110221,16
129,ER,24,0.3,93,17,17,1.0,True,0.9943227958023251,0.007059891093394474,0.9989536070180689,1.0,-0.0007135105950905027,0.9355300426547348,0.012503373586893414,2.772588722239781,17
130,ER,24,0.5,128,18,18,1.0,True,0.99321855248788,0.006710544524004453,0.9989743881619776,1.0,-0.0006391919885371704,0.9376914861500474,0.01563958234154037,2.833213344056216,18
