instance_id,graph_type,num_nodes,is_optimal,step,vertex,prob,delta,spectral_gap,n_active
52,ER,9,True,6,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
53,ER,9,True,0,0,2.2754833534088803e-05,7.709457422455657e-07,0.6698745098287003,9
53,ER,9,True,1,1,3.1332927560967505e-05,3.277737406381931e-06,0.5678465710886512,8
53,ER,9,True,2,8,4.2499324050648823e-05,8.333286751760483e-07,0.5839531773915361,7
53,ER,9,True,3,3,4.9999074082096584e-05,1.944394097763702e-05,0.7257081148225679,5
53,ER,9,True,4,2,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
53,ER,9,True,5,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
54,ER,9,True,0,8,2.1150562472871393e-05,3.915312518643077e-12,0.748426886487965,9
54,ER,9,True,1,0,2.69440991149672e-05,1.1110618057807997e-06,0.7129040516611082,8
54,ER,9,True,2,7,4.124936160188053e-05,1.0583126677232713e-05,0.5780921389204556,7
54,ER,9,True,3,1,3.541612389479365e-05,2.220446049250313e-16,0.852333177278436,5
54,ER,9,True,4,4,6.666511575648126e-05,2.499913195463943e-05,0.7712864461218308,4
54,ER,9,True,5,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
55,ER,9,True,0,1,2.2380696293233804e-05,1.461974985517145e-11,0.6219399862233101,9
55,ER,9,True,1,8,3.027736243521595e-05,3.6110020322777103e-06,0.5812646717563241,8
55,ER,9,True,2,7,4.999912327086076e-05,1.2499680992483775e-05,0.4427954523253347,7
55,ER,9,True,3,2,4.166596836963077e-05,5.555401878742927e-06,0.7257081148225686,5
55,ER,9,True,4,4,7.49980208569756e-05,2.220446049250313e-16,0.49999999999999983,4
55,ER,9,True,5,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
56,ER,9,True,0,7,2.074379845062868e-05,8.630714404267437e-07,0.6889035061347435,9
56,ER,9,True,1,2,2.7083003547034856e-05,1.389078592151094e-07,0.5974948097828195,8
56,ER,9,True,2,4,3.233288038706483e-05,1.0416112417033219e-11,0.506770798405943,7
56,ER,9,True,3,8,6.249866320651165e-05,1.2499548616262679e-05,0.3190964933197986,6
56,ER,9,True,4,0,4.444366255729193e-05,0.0,1.0000000000000002,4
